,sharePrice_change,percentYearIncrease,percentYearIncrease_change,market_cap,market_cap_change,analystRecommend,analystRecommend_change,totalSentiment,totalSentiment_change,cnnP/S,cnnP/S_change,popularity,popularity_change,relevance,relevance_change,ytdPercent,ytdPercent_change,yahooOutlookLevel,yahooOutlookLevel_change,fair_value,fair_value_change,guruRating,guruRating_change,sector,industry,sectorSuccess,sectorSuccess_change,5-Year EBITDA Growth Rate,5-Year EBITDA Growth Rate_change,Altman Z-Score,Altman Z-Score_change,Beneish M-Score,Beneish M-Score_change,Book Value per Share,Book Value per Share_change,Cash per Share,Cash per Share_change,Dividends per Share,Dividends per Share_change,E10,E10_change,Earnings per Share (Diluted),Earnings per Share (Diluted)_change,EBIT per Share,EBIT per Share_change,EBITDA per Share,EBITDA per Share_change,EPS without NRI,EPS without NRI_change,FFO per Share,FFO per Share_change,Financial Strength,Financial Strength_change,Float Percentage Of Total Shares Outstanding,Float Percentage Of Total Shares Outstanding_change,Free Cash Flow per Share,Free Cash Flow per Share_change,Insider Ownership,Insider Ownership_change,Institutional Ownership,Institutional Ownership_change,Net Cash per Share,Net Cash per Share_change,Net Current Asset Value,Net Current Asset Value_change,Net-Net Working Capital,Net-Net Working Capital_change,Owner Earnings per Share (TTM),Owner Earnings per Share (TTM)_change,Piotroski F-Score,Piotroski F-Score_change,Predictability Rank_change,Profitability Rank,Profitability Rank_change,Quality Rank_change,Revenue per Share,Revenue per Share_change,Scaled Net Operating Assets,Scaled Net Operating Assets_change,Short Interest_change,Short Percentage of Float_change,Tangible Book per Share,Tangible Book per Share_change,Total Debt per Share,Total Debt per Share_change,Valuation Rank_change,YoY EBITDA Growth,YoY EBITDA Growth_change,YoY EPS Growth,YoY EPS Growth_change,YoY Rev. per Sh. Growth,YoY Rev. per Sh. Growth_change,Asset Turnover_change,Buyback Yield %,Buyback Yield %_change,Cash Conversion Cycle,Cash Conversion Cycle_change,COGS-to-Revenue_change,Current Ratio,Current Ratio_change,Days Inventory,Days Inventory_change,Days Payable,Days Payable_change,Days Sales Outstanding,Days Sales Outstanding_change,Debt-to-Asset,Debt-to-Asset_change,Debt-to-EBITDA,Debt-to-EBITDA_change,Debt-to-Equity,Debt-to-Equity_change,Debt-to-Revenue,Debt-to-Revenue_change,Earnings Yield %,Earnings Yield %_change,Earnings Yield (Joel Greenblatt) %,Earnings Yield (Joel Greenblatt) %_change,Effective Interest Rate on Debt %,Effective Interest Rate on Debt %_change,Equity-to-Asset,Equity-to-Asset_change,EV-to-EBIT,EV-to-EBIT_change,EV-to-EBITDA,EV-to-EBITDA_change,EV-to-Revenue,EV-to-Revenue_change,Forward PE Ratio,Forward PE Ratio_change,Forward Rate of Return (Yacktman) %,Forward Rate of Return (Yacktman) %_change,Goodwill-to-Asset,Goodwill-to-Asset_change,Gross-Profit-to-Asset %,Gross-Profit-to-Asset %_change,Inventory Turnover,Inventory Turnover_change,Inventory-to-Revenue,Inventory-to-Revenue_change,LT-Debt-to-Total-Asset,LT-Debt-to-Total-Asset_change,PB Ratio,PB Ratio_change,PE Ratio,PE Ratio_change,PE Ratio without NRI,PE Ratio without NRI_change,PEG Ratio,PEG Ratio_change,Price-to-Free-Cash-Flow,Price-to-Free-Cash-Flow_change,Price-to-Funds-From-Operations,Price-to-Funds-From-Operations_change,Price-to-Operating-Cash-Flow,Price-to-Operating-Cash-Flow_change,Price-to-Owner-Earnings,Price-to-Owner-Earnings_change,Price-to-Tangible-Book,Price-to-Tangible-Book_change,PS Ratio,PS Ratio_change,Quick Ratio,Quick Ratio_change,Return-on-Tangible-Asset,Return-on-Tangible-Asset_change,ROA %,ROA %_change,ROC %,ROC %_change,ROC (Joel Greenblatt) %,ROC (Joel Greenblatt) %_change,ROCE %,ROCE %_change,ROE %,ROE %_change,ROE % Adjusted to Book Value,ROE % Adjusted to Book Value_change,ROIC %,ROIC %_change,Shares Buyback Ratio %,Shares Buyback Ratio %_change,Shiller PE Ratio,Shiller PE Ratio_change,Short Ratio_change,Sloan Ratio %,Sloan Ratio %_change,WACC %,WACC %_change,FCF Margin %,FCF Margin %_change,Gross Margin %,Gross Margin %_change,Net Interest Margin (Bank Only) %,Net Interest Margin (Bank Only) %_change,Net Margin %,Net Margin %_change,Operating Margin %,Operating Margin %_change,s&p_change
SUM,-0.029778393351800537,0.8366145505,0.03143841449034524,3323000000,0.0,12.36931688,0.0,0.07388101056,-0.25451771576097687,0.99,0.0,3.336237606,0.06377067847709486,200,0.0,40.99,-0.07721746960828454,-3,-0.0,1,0.0,0.0,0.0,13,83,7,0.75,11.9,0.0,1.74,-0.0057142857142857195,-2.82,-0.0,13.97,0.0,3.66,0.0,0.0,0.0,-0.41,-0.0,1.2,0.0,2.03,0.0,4.06,0.0,1.2,0.0,0.0,0.0,4,0.0,97.96,0.0,2.01,0.0,0.84,0.0,91.29,0.0,-20.04,-0.0,-15.88,-0.0,-17.47,-0.0,1.69,0.0,7.0,0.0,0,5,0.0,0,20.38,0.0,0.73,0.0,0,0,3.05,0.0,17.07,0.0,0,31.94,0.0,0.0,0.0,10.38,0.0,0.0,0.0,0.0,56.89,0.0,0.0,2.77,0.0,44.69,0.0,29.45,0.0,41.65,0.0,0.45,0.0,3.53,0.0,1.22,0.0,0.78,0.0,4.13,0.019753086419753103,6.04,0.0,5.23,0.0,0.37,0.0,21.26,-0.012081784386617007,10.63,-0.012081784386617007,2.12,-0.013953488372092933,32.44,-0.019347037484885147,0.0,0.0,0.28,0.0,19.16,0.0,2.04,0.0,0.33,0.0,0.44,0.0,2.08,-0.018867924528301903,24.24,-0.01782820097244738,24.24,-0.01782820097244738,2.04,-0.014492753623188312,14.47,-0.01831750339213023,0.0,0.0,8.17,-0.018028846153846197,17.21,-0.018254420992584158,9.54,-0.01851851851851867,1.43,-0.013793103448275874,2.15,0.0,4.68,0.0,3.27,0.0,4.68,0.0,14.72,0.0,7.57,0.0,8.93,0.0,6.2,0.0,4.68,0.0,-0.95,-0.0,0.0,0.0,0,0.34,0.0,8.1,-0.008567931456548383,24.59,0.0,32.97,0.0,0.0,0.0,5.63,0.0,9.39,0.0,0.016130646275355952
CTRN,0.06336853807670931,0.3232844125,0.2937623923341094,902837000,-0.006405057133769949,7.071067812000001,0.0,0.0799095052,-0.1928061100094658,0.78,0.012987012987012998,0.535,0.0,135,0.015037593984962405,91.59,0.10044455124354199,2,0.0,-1,-0.0,2.0,1.0,16,52,1,0.0,11.3,0.2417582417582419,4.23,0.16528925619834725,-3.63,0.025423728813559282,16.57,0.05608667941363931,12.47,0.3223753976670203,0.08,-0.5,0.84,0.13513513513513511,2.38,0.6879432624113475,3.19,0.733695652173913,5.06,0.3787465940054495,2.38,0.6879432624113475,0.0,0.0,6,0.0,85.65,0.07641070755309806,9.18,0.5746140651801028,11.82,0.0,87.1,0.0,-21.04,-0.037511436413540725,-8.76,-0.014623172103487151,-15.78,-0.03071253071253082,4.21,1.4057142857142857,7.0,0.4,0,6,0.0,0,76.2,0.09404163675520455,0.48,-0.07692307692307698,0,0,16.57,0.05608667941363931,19.52,0.01772679874869655,0,95.54,-0.7411541587645624,115.48,-0.863246648666572,34.98,0.6134686346863467,0.2682926829268294,3.62,-0.03978779840848804,14.44,-0.15752625437572934,-0.017241379310344845,1.34,-0.007407407407407414,69.02,-0.16146276272627877,54.58,-0.1624980819395428,0.0,0.0,0.39,-0.04878048780487796,1.7,-0.5142857142857143,1.18,-0.03278688524590167,0.19,-0.24,2.41,0.564935064935065,4.93,-0.09706959706959711,0.09,-0.7500000000000001,0.33,0.0,31.07,-0.3918575063613232,19.44,-0.25259515570934254,1.28,-0.07246376811594193,0.0,0.0,-3.43,-0.3028455284552845,0.0,0.0,88.19,0.3009293406107094,1.32,0.18918918918918914,0.43,-0.1886792452830189,0.3,-0.03225806451612906,5.96,0.024054982817869358,41.49,-0.3596233986726347,41.49,-0.3596233986726347,3.67,-0.4845505617977528,10.75,-0.31397574984045945,0.0,0.0,9.12,-0.2069565217391305,23.45,-0.5508523271403946,5.96,0.024054982817869358,1.3,-0.007633587786259549,0.77,0.13235294117647053,14.78,1.6067019400352733,14.78,1.6067019400352733,22.4,1.4454148471615718,38.01,1.508910891089109,30.4,1.6784140969162993,44.46,1.5878928987194414,12.49,0.20676328502415464,22.4,1.4454148471615718,8.84,0.37694704049844235,117.55,-0.04786975538635993,0,-22.96,0.16548223350253816,11.58,-0.08602999210734016,16.97,20.212499999999995,42.73,0.021759923481587676,0.0,0.0,7.16,1.0457142857142858,9.41,1.0063965884861406,0.016130646275355952
VLRS,-0.08168474792597316,-0.6278374259,-1.5108691368839986,1793000000,0.0,18.70828693,0.0,0.07127719299,-0.30668224866298643,1.21,0.0,2.264722222,0.0,203,0.0,16.18,-0.38735327527451724,3,0.0,0,0.0,1.0,0.0,7,7,12,0.0,3.6,0.0,0.2,-0.13043478260869565,-3.82,-0.0,1.22,0.0,4.41,0.0,0.0,0.0,0.3,0.0,-1.91,-0.0,-2.24,-0.0,0.48,0.0,-1.91,-0.0,0.0,0.0,2,-0.3333333333333333,0.0,0.0,0.59,0.0,0.0,0.0,15.18,0.0,-24.17,-0.0,-22.27,-0.0,-24.01,-0.0,-0.3,-0.0,4.0,0.0,0,5,0.0,0,10.23,0.0,0.68,0.0,0,0,1.14,0.0,21.63,0.0,0,-39.26,-0.0,-35.95,-0.0,-23.66,-0.0,0.0,0.0,0.0,1.87,0.0,0.0,0.68,0.0,0.0,0.0,0.0,0.0,1.87,0.0,0.73,0.0,3.48,0.0,17.71,0.0,1.53,0.0,0.0,0.0,-7.51,-0.0,5.2,0.0,0.04,0.0,-16.42,-0.03638497652582145,65.45,-0.03608247422680416,3.46,-0.03621169916434538,0.0,0.0,13.14,0.0,0.0,0.0,49.62,0.0,0.0,0.0,0.03,0.0,0.6,0.0,11.98,-0.06915306915306907,0.0,0.0,0.0,0.0,0.0,0.0,24.71,-0.06895252449133378,0.0,0.0,6.66,-0.06853146853146856,0.0,0.0,12.86,-0.06811594202898559,1.43,-0.0714285714285715,0.66,0.0,5.52,0.0,5.51,0.0,3.78,0.0,20.21,0.0,18.63,0.0,0.0,0.0,0.0,0.0,3.78,0.0,-15.07,-0.0,48.77,-0.0687416459805231,0,-12.06,-0.0,13.01,-0.031273268801191356,7.64,0.0,0.0,0.0,0.0,0.0,11.09,0.0,11.87,0.0,0.016130646275355952
RNGR,0.0009141620492155233,-1.324074074,-0.07222222254532248,88582000,-0.007762531503780454,6.0,0.0,0.06616204654,-0.309393019217924,0.17,0.0,0.8477272726999999,0.0,54,0.0,48.35,-0.032999999999999974,-3,2.0,-1,-0.0,0.0,0.0,2,48,17,0.0,0.0,0.0,1.36,-0.021582733812949503,-1.55,-0.0,6.61,0.0,0.18,0.0,0.0,0.0,0.0,0.0,-1.24,-0.0,-1.99,-0.0,1.65,0.0,-1.24,-0.0,0.0,0.0,4,0.0,24.27,0.0,1.96,0.0,5.05,0.0,38.51,0.0,-8.82,-0.0,-6.68,-0.0,-7.48,-0.0,0.81,0.0,5.0,0.0,0,3,0.0,0,17.76,0.0,0.89,0.0,0,0,6.06,0.0,2.17,0.0,0,-61.66,-0.0,-4200.0,-0.0,-5.46,-0.0,0.0,4.14,0.03241895261845384,29.49,0.0,0.0,1.08,0.0,4.28,0.0,26.35,0.0,51.56,0.0,0.14,0.0,3.81,0.0,0.33,0.0,0.2,0.0,0.0,0.0,-8.9,-0.0,8.64,0.0,0.42,0.0,-12.96,-0.01369863013698628,9.83,-0.014042126379137468,1.04,-0.018867924528301903,0.0,0.0,0.0,0.0,0.0,0.0,-1.83,-0.0,21.3,0.0,0.05,0.0,0.09,0.0,0.8,-0.03614457831325291,0.0,0.0,0.0,0.0,0.0,0.0,2.72,-0.032028469750889625,0.0,0.0,2.08,-0.03255813953488365,6.57,-0.03240058910161999,0.88,-0.032967032967032996,0.3,-0.03225806451612906,1.01,0.0,-6.37,-0.0,-6.14,-0.0,-14.31,-0.0,-11.52,-0.0,-11.48,-0.0,-14.4,-0.0,-26.18,-0.0,-14.31,-0.0,1.18,0.0,0.0,0.0,0,-12.64,-0.0,11.62,-0.008532423208191246,-6.27,-0.0,-2.65,-0.0,0.0,0.0,-8.92,-0.0,-19.52,-0.0,0.016130646275355952
CDNA,-0.03739970080239358,-0.056308141799999996,0.048910005711541436,3786000000,-0.014319187711533454,12.24744871,0.0,0.09590932017,-0.25132401920469993,17.52,0.0,5.135092483999999,0.0,880,0.0,-2.1,-1.578512396694215,-4,3.0,-1,-0.0,0.0,0.0,10,12,5,-0.2857142857142857,25.5,0.0,25.3,-0.02767102229054569,-2.92,-0.0,5.62,0.0,4.55,0.0,0.0,0.0,0.0,0.0,-0.42,-0.0,-0.5,-0.0,-0.29,-0.0,-0.42,-0.0,0.0,0.0,7,0.0,88.88,0.0,0.5,0.0,4.37,0.0,82.75,0.0,2.71,0.0,3.69,0.0,3.33,0.0,0.1,0.0,6.0,0.0,0,3,0.0,0,4.11,0.0,0.2,0.0,0,0,4.24,0.0,0.37,0.0,0,87.34,0.0,36.36,0.0,40.76,0.0,0.0,0.0,0.0,52.55,0.0,0.0,3.95,0.0,48.12,0.0,46.32,0.0,50.75,0.0,0.05,0.0,-9.61,-0.0,0.07,0.0,0.08,0.0,0.0,0.0,-0.67,-0.0,0.0,0.0,0.75,0.0,-163.07,-0.028940630024415014,-282.93,-0.028999931361109166,19.11,-0.028963414634146357,0.0,0.0,0.0,0.0,0.07,0.0,44.05,0.0,1.9,0.0,0.17,0.0,0.04,0.0,13.34,-0.024853801169590635,0.0,0.0,0.0,0.0,0.0,0.0,151.09,-0.024344569288389576,0.0,0.0,104.08,-0.024371953505811852,749.4,-0.024345788308814016,17.69,-0.02426916712630986,18.24,-0.02459893048128347,3.8,0.0,-4.8,-0.0,-3.89,-0.0,-8.34,-0.0,-47.3,-0.0,-4.16,-0.0,-5.15,-0.0,-0.4,-0.0,-8.34,-0.0,-16.34,-0.0,0.0,0.0,0,13.09,0.0,6.72,-0.008849557522123967,11.49,0.0,67.8,0.0,0.0,0.0,-5.99,-0.0,-5.23,-0.0,0.016130646275355952
UNFI,-0.11434392828035868,1.864160471,0.12324939576327733,1832000000,-0.11795859412614347,3.605551275,0.0,0.09858856329,0.03136581508065898,0.04,0.0,1.809134755,-0.48025831723187573,5710,0.003162333099086437,113.4,-0.15094339622641506,0,0.0,-1,-0.0,1.0,0.0,8,115,13,0.0,-24.5,-0.0,4.49,0.0,0.0,0.0,21.91,0.0,0.72,0.0,0.0,0.0,1.0,0.0,3.47,0.0,7.7,0.0,12.72,0.0,2.73,0.0,0.0,0.0,5,0.0,73.14,0.0,7.9,0.0,2.32,0.0,97.43,0.0,-110.77,-0.0,-46.51,-0.0,-75.96,-0.0,7.2,0.0,7.0,0.0,0,7,0.0,0,498.73,0.0,0.61,0.0,0,0,5.02,0.0,63.7,0.0,0,88.08,0.0,275.44,0.0,-3.18,-0.0,0.0,-0.62,-0.015873015873015886,25.3,0.0,0.0,1.59,0.0,36.17,0.0,25.9,0.0,15.03,0.0,0.48,0.0,4.91,0.0,2.91,0.0,0.13,0.0,9.8,-0.004065040650406418,8.53,0.0,4.59,0.0,0.16,0.0,12.82,0.0007806401249024033,7.77,0.0025806451612902675,0.2,0.0,9.45,-0.016649323621227903,0.0,0.0,0.0,0.0,51.87,0.0,2.52,0.0,0.34,0.0,0.45,0.0,1.62,0.006211180124223607,10.2,0.0029498525073745683,12.97,0.003869969040247733,0.0,0.0,4.48,0.00448430493273553,0.0,0.0,3.22,0.00311526479750786,4.92,0.004081632653061137,7.05,0.0042735042735043095,0.07,0.0,0.62,0.0,3.53,0.0,3.09,0.0,6.79,0.0,10.88,0.0,8.72,0.0,19.82,0.0,15.98,0.0,6.79,0.0,-4.83,-0.0,35.41,0.0036848072562356985,0,-5.77,-0.0,6.0,-0.003322259136212554,3.11,0.0,14.38,0.0,0.0,0.0,0.86,0.0,1.79,0.0,0.016130646275355952
BILI,-0.03943934267762202,-1.4108457030000001,0.0857220723043653,37320000000,-0.0443511215814811,29.15475947,0.03077640616248858,0.08365349205,-0.20637628293061658,17.05,-0.0017564402810303038,2.933606811,-0.1026911890260938,6810,0.0011761246692149367,16.2,-0.2579019697663765,-3,-0.0,-1,-0.0,0.0,0.0,0,37,6,0.0,0.0,0.0,9.6,-0.016393442622950834,-2.73,-0.0,3.43,0.0,5.88,0.0,0.0,0.0,0.0,0.0,-1.08,-0.0,-1.04,-0.0,-0.88,-0.0,-1.08,-0.0,0.0,0.0,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,22.05,0.0,-0.85,-0.0,0.4,0.0,-0.48,-0.0,0.0,0.0,3.0,0.0,0,2,-0.3333333333333333,0,4.28,0.0,0.13,0.0,0,0,1.9,0.0,3.67,0.0,0,-167.07,-0.0,-159.44,-0.0,68.71,0.0,0.0,0.0,0.0,-73.8,-0.0,0.0,2.44,0.0,0.0,0.0,101.1,0.0,27.3,0.0,0.36,0.0,-2.1,-0.0,1.07,0.0,0.68,0.0,0.0,0.0,0.0,0.0,1.64,0.0,0.34,0.0,-108.05,-0.017101792049486125,-126.36,-0.017036172695449332,26.27,-0.017209128320239464,0.0,0.0,0.0,0.0,0.05,0.0,12.72,0.0,0.0,0.0,0.0,0.0,0.36,0.0,31.25,-0.006359300476947514,0.0,0.0,0.0,0.0,0.0,0.0,51605.0,-0.0064497497112052365,0.0,0.0,825.68,-0.006449749711205254,0.0,0.0,54.38,-0.006395030147999165,24.1,-0.00618556701030922,2.44,0.0,-20.94,-0.0,-18.08,-0.0,-51.5,-0.0,-574.09,-0.0,-23.6,-0.0,-51.49,-0.0,-4.24,-0.0,-51.5,-0.0,-7.25,-0.0,0.0,0.0,0,0.0,0.0,9.03,-0.006600660066006655,0.0,0.0,23.61,0.0,0.0,0.0,-33.54,-0.0,-33.58,-0.0,0.016130646275355952
ABT,0.015245393771400656,1.011234193,0.04628025626220439,213558000000,-0.0028947884469926882,14.38749457,0.02247471625699408,0.1268828867,0.06235056252200329,5.65,0.0,3.682174297,0.3641433318834409,2286,0.006161971830985915,9.97,-0.16638795986622074,3,-2.0,0,0.0,1.0,0.0,10,12,5,-0.2857142857142857,13.4,0.0,4.65,-0.01273885350318463,-2.56,-0.0,18.51,0.0,4.04,0.0,1.44,0.0,2.17,0.0,2.5,0.0,3.09,0.0,4.95,0.0,2.49,0.0,0.0,0.0,5,-0.16666666666666666,97.65,0.0,3.2,0.0,0.84,0.0,90.54,0.0,-18.41,-0.0,-10.91,-0.0,-14.28,-0.0,3.23,0.0,6.0,0.0,0,7,0.0,0,19.37,0.0,0.66,0.0,0,0,-3.24,-0.0,11.09,0.0,0,56.19,0.0,103.39,0.0,28.07,0.0,0.0,0.19,0.05555555555555561,82.19,0.0,0.0,1.72,0.0,103.21,0.0,72.45,0.0,51.43,0.0,0.27,0.0,1.45,0.0,0.6,0.0,0.46,0.0,2.07,0.01470588235294108,2.67,0.0,2.85,0.0,0.45,0.0,41.11,-0.017212526894573248,25.64,-0.01724798773476425,6.55,-0.016516516516516564,24.14,-0.019894437677628846,16.28,0.0,0.33,0.0,35.08,0.0,0.88,0.0,0.48,0.0,0.27,0.0,6.53,-0.013595166163141973,48.33,-0.014075887392900955,48.53,-0.014018691588785001,3.62,-0.013623978201634829,37.76,-0.014099216710182747,0.0,0.0,27.34,-0.014064190407500923,37.41,-0.013969425408539831,0.0,0.0,6.24,-0.014218009478672963,1.3,0.0,26.81,0.0,12.22,0.0,16.28,0.0,100.89,0.0,16.91,0.0,26.95,0.0,4.55,0.0,16.28,0.0,-0.5,-0.0,55.68,-0.014164305949008449,0,-1.64,-0.0,5.07,-0.011695906432748463,29.15,0.0,58.01,0.0,0.0,0.0,20.2,0.0,22.73,0.0,0.016130646275355952
OLLI,0.053689385474860324,0.6420654018999999,-0.04957192691021222,6357000000,0.14788732394366197,3.741657387,0.0,0.0791641459,-0.2398501396368541,3.45,0.026785714285714378,2.878600777,-0.24585096318879823,1136,0.0,17.44,0.7353233830845771,2,-1.5,1,-2.0,0.0,0.0,16,89,1,0.0,21.5,0.0,7.77,0.03599999999999994,-3.36,-0.0,20.39,0.0,6.83,0.0,0.0,0.0,0.0,0.0,3.67,0.0,4.21,0.0,4.55,0.0,3.67,0.0,0.0,0.0,6,0.0,70.98,0.0,5.01,0.0,4.11,0.0,75.96,0.0,-3.42,-0.0,2.1,0.0,-0.71,-0.0,4.76,0.0,7.0,0.0,0,7,0.0,0,27.44,0.0,0.66,0.0,0,0,10.07,0.0,5.91,0.0,0,29.25,0.0,27.27,0.0,20.71,0.0,0.0,0.0,0.0,74.36,0.0,0.0,2.85,0.0,109.79,0.0,35.5,0.0,0.07,0.0,0.19,0.0,1.07,0.0,0.29,0.0,0.19,0.0,3.85,-0.047029702970297016,4.52,0.0,0.0,0.0,0.67,0.0,22.3,0.05089538171536295,20.63,0.05094243504839532,3.42,0.052307692307692284,29.29,0.049820788530465974,21.84,0.0,0.22,0.0,41.58,0.0,0.83,0.0,0.73,0.0,0.16,0.0,4.68,0.05168539325842686,25.99,0.05052546483427648,25.99,0.05052546483427648,1.21,0.052173913043478314,19.04,0.05077262693156723,0.0,0.0,17.42,0.05066344993968658,20.04,0.05031446540880508,9.47,0.05105438401775814,3.48,0.051359516616314174,1.6,0.0,20.0,0.0,13.14,0.0,18.35,0.0,49.11,0.0,20.06,0.0,19.88,0.0,4.28,0.0,18.35,0.0,-3.89,-0.0,0.0,0.0,0,-4.39,-0.0,9.13,-0.0043620501635767885,23.4,0.0,39.68,0.0,0.0,0.0,12.54,0.0,16.42,0.0,0.016130646275355952
KRNY,0.004909983633387784,0.4626807826,-0.008156606965553368,1047000000,-0.03768382352941176,5.196152423,0.0,0.09178803266,-0.1489107302789335,2.67,0.0,-0.1454545455,-0.0,78,0.0,16.57,0.09372937293729372,-1,-1.0,1,0.0,2.0,0.0,6,110,18,0.0,0.0,0.0,0.0,0.0,-2.25,-0.0,12.86,0.0,1.53,0.0,0.32,0.0,0.25,0.0,0.61,0.0,0.0,0.0,0.0,0.0,0.61,0.0,0.0,0.0,2,0.0,90.28,0.0,0.23,0.0,3.86,0.0,75.79,0.0,-52.01,-0.0,0.0,0.0,-51.83,-0.0,0.32,0.0,6.0,0.0,0,5,0.0,0,2.28,0.0,0.02,0.0,0,0,10.33,0.0,10.19,0.0,0,0.0,0.0,53.85,0.0,28.33,0.0,0.0,6.13,-0.006482982171799033,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.0,0.0,0.79,0.0,4.19,0.0,4.91,-0.006072874493927175,0.0,0.0,5.7,0.0,0.15,0.0,0.0,0.0,0.0,0.0,9.39,0.003205128205128327,16.34,0.004302397049784898,4.38,0.0,0.03,0.0,2.82,0.0,0.0,0.0,0.0,0.0,0.12,0.0,0.97,0.010416666666666676,20.38,0.007414730598121531,20.38,0.007414730598121531,29.11,0.007266435986159199,53.35,0.007364048338368591,0.0,0.0,41.57,0.007269202810758351,38.84,0.007261410788381772,1.2,0.008403361344537823,5.46,0.007380073800738014,0.0,0.0,0.95,0.0,0.93,0.0,0.0,0.0,0.0,0.0,0.0,0.0,6.12,0.0,7.46,0.0,0.0,0.0,0.25,0.0,49.72,0.007293354943273895,0,0.84,0.0,5.8,-0.00514579759862783,46.08,0.0,0.0,0.0,2.75,0.0,32.78,0.0,0.0,0.0,0.016130646275355952
HHC,0.0481891041899158,0.0057449209950000005,-0.05318670440064475,5865000000,0.04601391118245051,8.660254038,0.0,0.07758532668,-0.1978245790638623,6.0,0.0,2.075681818,-0.16291645672836555,193,0.005208333333333333,31.28,0.17638209853328324,3,0.5,-1,-0.0,1.0,0.0,6,31,18,0.0,-3.7,-0.0,0.89,0.011363636363636374,-2.05,-0.0,67.57,0.0,18.46,0.0,0.0,0.0,-0.14,-0.0,-1.1,-0.0,1.9,0.0,6.13,0.0,-1.1,-0.0,0.0,0.0,3,0.0,55.85,0.0,-1.68,-0.0,3.64,0.0,85.57,0.0,-80.24,-0.0,-66.8,-0.0,-75.33,-0.0,8.97,0.0,2.0,0.0,0,4,-0.2,0,13.47,0.0,0.78,0.0,0,0,66.08,0.0,79.25,0.0,0,-4.69,-0.0,-300.0,-0.0,-41.59,-0.0,0.0,-10.29,-0.019065776930410016,165.79,0.0,0.0,2.48,0.0,46.21,0.0,22.05,0.0,141.63,0.0,0.48,0.0,12.03,0.0,1.17,0.0,5.1,0.0,0.0,0.0,1.83,0.0,3.1,0.0,0.41,0.0,64.74,0.012195121951219419,25.44,0.012335853561480394,13.03,0.012432012432012444,0.0,0.0,-8.27,-0.0,0.0,0.0,4.38,0.0,1.97,0.0,0.27,0.0,0.48,0.0,1.55,0.019736842105263174,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,11.64,0.019264448336252245,1.58,0.019354838709677438,7.75,0.019736842105263205,2.4,0.0,-0.3,-0.0,-0.29,-0.0,-17.11,-0.0,202.49,0.0,1.62,0.0,-0.72,-0.0,-0.62,-0.0,-17.11,-0.0,-29.09,-0.0,0.0,0.0,0,5.2,0.0,6.89,0.0014534883720929922,45.36,0.0,46.62,0.0,0.0,0.0,-3.11,-0.0,8.6,0.0,0.016130646275355952
ESI,0.01740506329113915,0.9088757281000001,-0.01242879330581111,4386000000,0.0,8.485281374,0.0,0.0740469614,-0.1554174846548269,2.39,0.0,2.340321663,0.02431564256393282,411,0.0,9.93,0.308300395256917,-3,-0.0,-1,-0.0,0.0,0.0,18,78,15,0.0,0.7,0.0,1.59,0.019230769230769246,-2.49,-0.0,9.39,0.0,1.18,0.0,0.05,0.0,-0.74,-0.0,0.31,0.0,0.58,0.0,1.22,0.0,0.31,0.0,0.0,0.0,4,0.0,76.64,0.0,0.93,0.0,2.33,0.0,98.86,0.0,-7.57,-0.0,-4.75,-0.0,-5.94,-0.0,0.6,0.0,7.0,0.0,0,5,0.0,0,7.42,0.0,0.82,0.0,0,0,-3.19,-0.0,6.2,0.0,0,-16.19,-0.0,-58.62,-0.0,19.82,0.0,0.0,1.14,-0.017241379310344845,96.76,0.0,0.0,3.15,0.0,60.32,0.0,28.98,0.0,65.42,0.0,0.34,0.0,3.06,0.0,0.66,0.0,0.71,0.0,1.57,-0.018750000000000017,2.57,0.0,3.33,0.0,0.52,0.0,42.39,0.018011527377521614,20.03,0.018301982714794073,3.3,0.01538461538461533,16.56,0.021591610117211463,0.79,0.0,0.5,0.0,20.22,0.0,1.51,0.0,0.39,0.0,0.34,0.0,2.11,0.024271844660194088,63.81,0.022760057701554762,63.81,0.022760057701554762,91.15,0.022778276481149023,21.22,0.0226506024096385,0.0,0.0,18.89,0.022739577693557212,32.97,0.022959975178405277,0.0,0.0,2.67,0.022988505747126457,2.5,0.0,9.02,0.0,2.72,0.0,3.43,0.0,52.44,0.0,8.23,0.0,5.24,0.0,2.77,0.0,3.43,0.0,1.2,0.0,0.0,0.0,0,-3.25,-0.0,8.66,-0.002304147465437739,13.9,0.0,41.5,0.0,0.0,0.0,5.57,0.0,14.91,0.0,0.016130646275355952
